Provincia;Departamento
BUENOS AIRES;25 DE MAYO
BUENOS AIRES;ADOLFO GONZALES CHAVES
BUENOS AIRES;ALBERTI
BUENOS AIRES;ALMIRANTE BROWN
BUENOS AIRES;ARRECIFES
BUENOS AIRES;AYACUCHO
BUENOS AIRES;AZUL
BUENOS AIRES;BAHIA BLANCA
BUENOS AIRES;BALCARCE
BUENOS AIRES;BARADERO
BUENOS AIRES;BENITO JUAREZ
BUENOS AIRES;BERAZATEGUI
BUENOS AIRES;BERISSO
BUENOS AIRES;BOLIVAR
BUENOS AIRES;BRANDSEN
BUENOS AIRES;CAMPANA
BUENOS AIRES;CANUELAS
BUENOS AIRES;CAPITAN SARMIENTO
BUENOS AIRES;CARMEN DE ARECO
BUENOS AIRES;CASTELLI
BUENOS AIRES;CHACABUCO
BUENOS AIRES;CHASCOMUS
BUENOS AIRES;CHIVILCOY
BUENOS AIRES;COLON
BUENOS AIRES;CORONEL DE MARINA L ROSALES
BUENOS AIRES;CORONEL DORREGO
BUENOS AIRES;CORONEL PRINGLES
BUENOS AIRES;CORONEL SUAREZ
BUENOS AIRES;DOLORES
BUENOS AIRES;ESCOBAR
BUENOS AIRES;ESTEBAN ECHEVERRIA
BUENOS AIRES;EXALTACION DE LA CRUZ
BUENOS AIRES;FLORENCIO VARELA
BUENOS AIRES;GENERAL ALVARADO
BUENOS AIRES;GENERAL ARENALES
BUENOS AIRES;GENERAL BELGRANO
BUENOS AIRES;GENERAL JUAN MADARIAGA
BUENOS AIRES;GENERAL LA MADRID
BUENOS AIRES;GENERAL PUEYRREDON
BUENOS AIRES;GENERAL RODRIGUEZ
BUENOS AIRES;JUNIN
BUENOS AIRES;LA MATANZA
BUENOS AIRES;LA PLATA
BUENOS AIRES;LAPRIDA
BUENOS AIRES;LAS FLORES
BUENOS AIRES;LOBERIA
BUENOS AIRES;LOBOS
BUENOS AIRES;LUJAN
BUENOS AIRES;MAGDALENA
BUENOS AIRES;MAR CHIQUITA
BUENOS AIRES;MARCOS PAZ
BUENOS AIRES;MERCEDES
BUENOS AIRES;MERLO
BUENOS AIRES;MONTE
BUENOS AIRES;MORENO
BUENOS AIRES;MORON
BUENOS AIRES;NECOCHEA
BUENOS AIRES;OLAVARRIA
BUENOS AIRES;PATAGONES
BUENOS AIRES;PERGAMINO
BUENOS AIRES;PILAR
BUENOS AIRES;PUAN
BUENOS AIRES;RAMALLO
BUENOS AIRES;RAUCH
BUENOS AIRES;RIVADAVIA
BUENOS AIRES;ROJAS
BUENOS AIRES;SAAVEDRA
BUENOS AIRES;SALADILLO
BUENOS AIRES;SALTO
BUENOS AIRES;SAN ANTONIO DE ARECO
BUENOS AIRES;SAN CAYETANO
BUENOS AIRES;SAN NICOLAS
BUENOS AIRES;SAN PEDRO
BUENOS AIRES;SAN VICENTE
BUENOS AIRES;TANDIL
BUENOS AIRES;TAPALQUE
BUENOS AIRES;TORNQUIST
BUENOS AIRES;TRES ARROYOS
BUENOS AIRES;VILLARINO
BUENOS AIRES;ZARATE
CATAMARCA;AMBATO
CATAMARCA;ANCASTI
CATAMARCA;ANDALGALA
CATAMARCA;BELEN
CATAMARCA;CAPAYAN
CATAMARCA;EL ALTO
CATAMARCA;FRAY MAMERTO ESQUIU
CATAMARCA;LA PAZ
CATAMARCA;PACLIN
CATAMARCA;POMAN
CATAMARCA;SANTA ROSA
CATAMARCA;TINOGASTA
CATAMARCA;VALLE VIEJO
CHUBUT;ESCALANTE
CHUBUT;GAIMAN
CHUBUT;RAWSON
CHUBUT;RIO SENGUER
CHUBUT;SARMIENTO
CORDOBA;CAPITAL
CORDOBA;COLON
CORDOBA;CRUZ DEL EJE
CORDOBA;GENERAL SAN MARTIN
CORDOBA;ISCHILIN
CORDOBA;PUNILLA
CORDOBA;RIO CUARTO
CORDOBA;RIO PRIMERO
CORDOBA;RIO SEGUNDO
CORDOBA;SAN ALBERTO
CORDOBA;SAN JAVIER
CORDOBA;SANTA MARIA
CORDOBA;TERCERO ARRIBA
CORDOBA;TOTORAL
CORRIENTES;BELLA VISTA
CORRIENTES;CAPITAL
CORRIENTES;CONCEPCION
CORRIENTES;CURUZU CUATIA
CORRIENTES;EMPEDRADO
CORRIENTES;ESQUINA
CORRIENTES;GENERAL PAZ
CORRIENTES;GOYA
CORRIENTES;ITATI
CORRIENTES;LAVALLE
CORRIENTES;MBURUCUYA
CORRIENTES;MERCEDES
CORRIENTES;MONTE CASEROS
CORRIENTES;PASO DE LOS LIBRES
CORRIENTES;SALADAS
CORRIENTES;SAN COSME
CORRIENTES;SAN LUIS DEL PALMAR
CORRIENTES;SAN ROQUE
CORRIENTES;SANTO TOME
CORRIENTES;SAUCE
ENTRE RIOS;COLON
ENTRE RIOS;CONCORDIA
ENTRE RIOS;DIAMANTE
ENTRE RIOS;FEDERACION
ENTRE RIOS;FEDERAL
ENTRE RIOS;FELICIANO
ENTRE RIOS;GUALEGUAY
ENTRE RIOS;GUALEGUAYCHU
ENTRE RIOS;LA PAZ
ENTRE RIOS;NOGOYA
ENTRE RIOS;PARANA
ENTRE RIOS;
ENTRE RIOS;TALA
ENTRE RIOS;URUGUAY
ENTRE RIOS;VICTORIA
ENTRE RIOS;VILLAGUAY
FORMOSA;FORMOSA
FORMOSA;LAISHI
FORMOSA;PATINO
FORMOSA;PILAGAS
FORMOSA;PILCOMAYO
FORMOSA;PIRANE
JUJUY;EL CARMEN
JUJUY;HUMAHUACA
JUJUY;LEDESMA
JUJUY;SAN ANTONIO
JUJUY;SAN PEDRO
JUJUY;SANTA BARBARA
JUJUY;
JUJUY;SUSQUES
JUJUY;TILCARA
JUJUY;TUMBAYA
JUJUY;YAVI
LA PAMPA;PUELEN
LA RIOJA;CAPITAL
LA RIOJA;CHILECITO
LA RIOJA;FAMATINA
LA RIOJA;SAN BLAS DE LOS SAUCES
MENDOZA;CAPITAL
MENDOZA;GENERAL ALVEAR
MENDOZA;GODOY CRUZ
MENDOZA;GUAYMALLEN
MENDOZA;JUNIN
MENDOZA;LA PAZ
MENDOZA;LAS HERAS
MENDOZA;LAVALLE
MENDOZA;LUJAN DE CUYO
MENDOZA;MAIPU
MENDOZA;MALARGUE
MENDOZA;RIVADAVIA
MENDOZA;SAN CARLOS
MENDOZA;SAN MARTIN
MENDOZA;SAN RAFAEL
MENDOZA;SANTA ROSA
MENDOZA;TUNUYAN
MENDOZA;TUPUNGATO
MISIONES;25 DE MAYO
MISIONES;APOSTOLES
MISIONES;CAINGUAS
MISIONES;CANDELARIA
MISIONES;CAPITAL
MISIONES;CONCEPCION
MISIONES;ELDORADO
MISIONES;GENERAL MANUEL BELGRANO
MISIONES;GUARANI
MISIONES;IGUAZU
MISIONES;LEANDRO N. ALEM
MISIONES;LIBERTADOR GENERAL SAN MARTIN
MISIONES;MONTECARLO
MISIONES;OBERA
MISIONES;SAN IGNACIO
MISIONES;SAN JAVIER
MISIONES;SAN PEDRO
NEUQUEN;ANELO
NEUQUEN;CHOS  MALAL
NEUQUEN;CONFLUENCIA
NEUQUEN;LACAR
NEUQUEN;MINAS
NEUQUEN;NORQUIN
NEUQUEN;PICUN LEUFU
RIO NEGRO;ADOLFO ALSINA
RIO NEGRO;AVELLANEDA
RIO NEGRO;BARILOCHE
RIO NEGRO;EL CUY
RIO NEGRO;GENERAL ROCA
RIO NEGRO;PICHI MAHUIDA
SALTA;ANTA
SALTA;CACHI
SALTA;CAPITAL
SALTA;CERRILLOS
SALTA;CHICOANA
SALTA;GENERAL GUEMES
SALTA;GUACHIPAS
SALTA;IRUYA
SALTA;LA CALDERA
SALTA;LA CANDELARIA
SALTA;LA VINA
SALTA;METAN
SALTA;MOLINOS
SALTA;ORAN
SALTA;ROSARIO DE LA FRONTERA
SALTA;ROSARIO DE LERMA
SALTA;SAN CARLOS
SAN JUAN;25 DE MAYO
SAN JUAN;9 DE JULIO
SAN JUAN;ALBARDON
SAN JUAN;ANGACO
SAN JUAN;CALINGASTA
SAN JUAN;CAPITAL
SAN JUAN;CAUCETE
SAN JUAN;CHIMBAS
SAN JUAN;IGLESIA
SAN JUAN;JACHAL
SAN JUAN;POCITO
SAN JUAN;RAWSON
SAN JUAN;RIVADAVIA
SAN JUAN;SAN MARTIN
SAN JUAN;SANTA LUCIA
SAN JUAN;SARMIENTO
SAN JUAN;ULLUM
SAN JUAN;VALLE FERTIL
SAN JUAN;ZONDA
SAN LUIS;AYACUCHO
SAN LUIS;BELGRANO
SAN LUIS;CHACABUCO
SAN LUIS;CORONEL PRINGLES
SAN LUIS;GENERAL PEDERNERA
SAN LUIS;JUAN MARTIN DE PUEYRREDON
SAN LUIS;JUNIN
SAN LUIS;LIBERTADOR GENERAL SAN MARTIN
SANTA CRUZ;DESEADO
SANTA CRUZ;LAGO BUENOS AIRES
SANTA FE;CONSTITUCION
SANTA FE;GARAY
SANTA FE;GENERAL LOPEZ
SANTA FE;GENERAL OBLIGADO
SANTA FE;IRIONDO
SANTA FE;LA CAPITAL
SANTA FE;ROSARIO
SANTA FE;SAN CRISTOBAL
SANTA FE;SAN JAVIER
SANTA FE;SAN JERONIMO
SANTA FE;SAN JUSTO
SANTA FE;SAN LORENZO
SANTA FE;VERA
SANTIAGO DEL ESTERO;AGUIRRE
SANTIAGO DEL ESTERO;BANDA
SANTIAGO DEL ESTERO;CAPITAL
SANTIAGO DEL ESTERO;ROBLES
SANTIAGO DEL ESTERO;SALAVINA
SANTIAGO DEL ESTERO;SILIPICA
SANTIAGO DEL ESTERO;
TUCUMAN;BURRUYACU
TUCUMAN;CAPITAL
TUCUMAN;CHICLIGASTA
TUCUMAN;CRUZ ALTA
TUCUMAN;FAMAILLA
TUCUMAN;GRANEROS
TUCUMAN;LEALES
TUCUMAN;MONTEROS
TUCUMAN;RIO CHICO
TUCUMAN;TAFI DEL VALLE
TUCUMAN;TRANCAS
CATAMARCA;CAPITAL
CHACO;12 DE OCTUBRE
CHACO;2 DE ABRIL
CHACO;ALMIRANTE BROWN
CHACO;CHACABUCO
CHACO;FRAY JUSTO SANTA MARIA DE ORO
CHACO;GENERAL BELGRANO
CHACO;O'HIGGINS
CHACO;SAN LORENZO
CHACO;TAPENAGA
CORDOBA;MINAS
CORRIENTES;BERON DE ASTRADA
CORRIENTES;ITUZAINGO
CORRIENTES;SAN MIGUEL
FORMOSA;BERMEJO
JUJUY;DR. MANUEL BELGRANO
LA RIOJA;GENERAL OCAMPO
SALTA;GENERAL JOSE DE SAN MARTIN
SANTA FE;9 DE JULIO
SANTIAGO DEL ESTERO;ALBERDI
SANTIAGO DEL ESTERO;AVELLANEDA
SANTIAGO DEL ESTERO;BELGRANO
SANTIAGO DEL ESTERO;COPO
SANTIAGO DEL ESTERO;FIGUEROA
SANTIAGO DEL ESTERO;GENERAL TABOADA
SANTIAGO DEL ESTERO;GUASAYAN
SANTIAGO DEL ESTERO;JIMENEZ
SANTIAGO DEL ESTERO;JUAN F. IBARRA
SANTIAGO DEL ESTERO;LORETO
SANTIAGO DEL ESTERO;MITRE
SANTIAGO DEL ESTERO;MORENO
SANTIAGO DEL ESTERO;OJO DE AGUA
SANTIAGO DEL ESTERO;PELLEGRINI
SANTIAGO DEL ESTERO;RIO HONDO
SANTIAGO DEL ESTERO;SAN MARTIN
SANTIAGO DEL ESTERO;SARMIENTO
BUENOS AIRES;9 DE JULIO
BUENOS AIRES;ADOLFO ALSINA
BUENOS AIRES;BRAGADO
BUENOS AIRES;CARLOS CASARES
BUENOS AIRES;CARLOS TEJEDOR
BUENOS AIRES;DAIREAUX
BUENOS AIRES;GENERAL ALVEAR
BUENOS AIRES;GENERAL GUIDO
BUENOS AIRES;GENERAL PINTO
BUENOS AIRES;GENERAL VILLEGAS
BUENOS AIRES;GUAMINI
BUENOS AIRES;HIPOLITO YRIGOYEN
BUENOS AIRES;LEANDRO N. ALEM
BUENOS AIRES;LINCOLN
BUENOS AIRES;MAIPU
BUENOS AIRES;NAVARRO
BUENOS AIRES;PEHUAJO
BUENOS AIRES;PELLEGRINI
BUENOS AIRES;ROQUE PEREZ
BUENOS AIRES;SALLIQUELO
BUENOS AIRES;SAN ANDRES DE GILES
BUENOS AIRES;SUIPACHA
BUENOS AIRES;TRENQUE LAUQUEN
CORDOBA;GENERAL ROCA
CORDOBA;JUAREZ CELMAN
CORDOBA;MARCOS JUAREZ
CORDOBA;SAN JUSTO
CORDOBA;UNION
LA PAMPA;ATREUCO
LA PAMPA;CAPITAL
LA PAMPA;CATRILO
LA PAMPA;GUATRACHE
SANTA FE;BELGRANO
SANTA FE;CASEROS
SANTA FE;CASTELLANOS
SANTA FE;LAS COLONIAS
SANTA FE;SAN MARTIN
CORRIENTES;GENERAL ALVEAR
CORRIENTES;SAN MARTIN
ENTRE RIOS;SAN SALVADOR
BUENOS AIRES;FLORENTINO AMEGHINO
BUENOS AIRES;GENERAL VIAMONTE
BUENOS AIRES;PILA
CORDOBA;PRESIDENTE ROQUE SAENZ PENA
SAN LUIS;GOBERNADOR DUPUY
BUENOS AIRES;GENERAL LAS HERAS
BUENOS AIRES;GENERAL LAVALLE
BUENOS AIRES;GENERAL PAZ
BUENOS AIRES;PUNTA INDIO
BUENOS AIRES;TORDILLO
BUENOS AIRES;TRES LOMAS
CHUBUT;BIEDMA
CHUBUT;CUSHAMEN
CHUBUT;FUTALEUFU
CHUBUT;LANGUINEO
CHUBUT;PASO DE INDIOS
CHUBUT;TEHUELCHES
CORDOBA;CALAMUCHITA
CORDOBA;POCHO
CORDOBA;RIO SECO
CORDOBA;SOBREMONTE
CORDOBA;TULUMBA
JUJUY;COCHINOCA
JUJUY;SANTA CATALINA
JUJUY;VALLE GRANDE
LA PAMPA;CALEU CALEU
LA PAMPA;CHAPALEUFU
LA PAMPA;CONHELO
LA PAMPA;HUCAL
LA PAMPA;LOVENTUE
LA PAMPA;MARACO
LA PAMPA;QUEMU QUEMU
LA PAMPA;RANCUL
LA PAMPA;REALICO
LA PAMPA;TOAY
LA PAMPA;TRENEL
LA PAMPA;UTRACAN
LA RIOJA;GENERAL LAMADRID
NEUQUEN;ALUMINE
NEUQUEN;COLLON CURA
NEUQUEN;HUILICHES
NEUQUEN;LONCOPUE
NEUQUEN;PEHUENCHES
NEUQUEN;PICUNCHES
RIO NEGRO;CONESA
RIO NEGRO;NORQUINCO
RIO NEGRO;PILCANIYEU
RIO NEGRO;VALCHETA
SALTA;CAFAYATE
SANTA CRUZ;CORPEN AIKE
SANTA CRUZ;GUER AIKE
SANTA CRUZ;LAGO ARGENTINO
SANTA CRUZ;MAGALLANES
SANTA CRUZ;RIO CHICO
SANTIAGO DEL ESTERO;RIVADAVIA
TIERRA DEL FUEGO;RIO GRANDE
TIERRA DEL FUEGO;USHUAIA
TUCUMAN;LA COCHA
TUCUMAN;YERBA BUENA
JUJUY;PALPALA
SALTA;RIVADAVIA
TUCUMAN;JUAN B. ALBERDI
TUCUMAN;LULES
TUCUMAN;SIMOCA
TUCUMAN;TAFI VIEJO
BUENOS AIRES;GENERAL SAN MARTIN
BUENOS AIRES;SAN FERNANDO
LA PAMPA;CHALILEO
LA RIOJA;GENERAL BELGRANO
LA RIOJA;SANAGASTA
NEUQUEN;LOS LAGOS
SALTA;LA POMA
SALTA;SANTA VICTORIA
SANTIAGO DEL ESTERO;ATAMISQUI
CATAMARCA;ANTOFAGASTA DE LA SIERRA
JUJUY;RINCONADA
LA RIOJA;CASTRO BARROS
LA RIOJA;CHAMICAL
LA RIOJA;ROSARIO VERA PENALOZA
NEUQUEN;ZAPALA
BUENOS AIRES;QUILMES
CHUBUT;FLORENTINO AMEGHINO
LA PAMPA;CURACO
SANTIAGO DEL ESTERO;CHOYA
LA RIOJA;ARAUCO
FORMOSA;MATACOS
LA PAMPA;LIMAY MAHUIDA
LA RIOJA;GENERAL ANGEL V. PENALOZA
LA RIOJA;GENERAL JUAN F. QUIROGA
SANTIAGO DEL ESTERO;QUEBRACHOS